7 11 19 16 1
11 1 9 10 1
19 9 3 17 1
16 10 17 2 1
19 9 17 16 2
19 9 16 11 1
16 10 11 9 1
16 10 9 17 2
7 11 16 26 2
11 1 10 12 2
16 10 2 18 2
26 12 18 6 2
16 10 18 12 1
16 10 12 11 2
26 12 11 16 2
26 12 16 18 1
7 11 26 23 1
11 1 12 13 1
26 12 6 24 1
23 13 24 5 1
26 12 24 23 2
26 12 23 11 1
23 13 11 12 1
23 13 12 24 2
7 11 23 27 2
11 1 13 14 2
23 13 5 25 2
27 14 25 8 2
23 13 25 14 1
23 13 14 11 2
27 14 11 23 2
27 14 23 25 1
7 11 27 21 1
11 1 14 15 1
27 14 8 22 1
21 15 22 4 1
27 14 22 21 2
27 14 21 11 1
21 15 11 14 1
21 15 14 22 2
7 11 21 19 2
11 1 15 9 2
21 15 4 20 2
19 9 20 3 2
21 15 20 9 1
21 15 9 11 2
19 9 11 21 2
19 9 21 20 1
